source;lang;dimenson;activity;arch-layer;prof-level;kpi;question;answer
hbo-i-2018;nl;null;null;null;null;null;Wat is het HBO-I model?;Het HBO-i model geeft een systematische beschrijving van het domein van de Bachelor of ICT. Hiermee krijgen opleidingen de ruimte om zich binnen het model te positioneren. Het model heeft drie dimensies: activiteiten (wat doet een ict’er?), architectuurlagen (binnen welke context?) en beheersingsniveau (hoe complex?).
hbo-i-2018;nl;activity;null;null;null;null;Hoe wordt is activiteiten dimensie binnen het HBO-I model omschreven?;De activiteiten dimensie bestaat uit ‘beheren’, ‘analyseren’, ‘adviseren’, ‘ontwerpen’ en ‘realiseren’. Deze zijn afgeleid uit de lifecycle van informatiesystemen. Elke Bachelor of ICT moet deze activiteiten uit kunnen voeren binnen de eigen beroepscontext. Bij alle activiteiten zijn kwaliteitsaspecten van groot belang, zoals beveiliging, budget en beschikbare tijd.
hbo-i-2018;nl;activity;manage;null;null;null;Wat wordt verstaan onder de activiteit 'beheren' van het HBO-I model?;De activiteit 'beheren' omvat het beheersbaar laten verlopen van alle activiteiten gericht op het proces van ontwikkeling, ingebruikname en gebruik van ict-systemen.
hbo-i-2018;nl;activity;analyse;null;null;null;Wat valt onder analyseren in het HBO-I model?;Onder de activiteit 'analyseren' wordt verstaan het analyseren van processen, producten en informatiestromen in hun onderlinge samenhang en de context van de omgeving.
hbo-i-2018;nl;activity;advise;null;null;null;Wat wordt verstaan onder adviseren volgens het HBO-I model?;Adviseren gaat binnen het HBO-I model over de herinrichting van processen en/of informatiestromen en voor een nieuw te ontwikkelen of aan te schaffen ict-systeem op basis van een analyse en in overleg met stakeholders.
hbo-i-2018;nl;activity;design;null;null;null;Hoe omschrijft het HBO-I model de activiteit ontwerpen?;Het  HBO-I model omschrijft deze activiteit als het ontwerpen van een ict-systeem op basis van specificaties en binnen vooraf gestelde kaders.
hbo-i-2018;nl;activity;realise;null;null;null;Wat is volgens het HBO-I model de activiteit 'realiseren'?;Volgens het HBO-I model betreft dit het realiseren van een ict-systeem op basis van een ontwerp en binnen gestelde kaders.
hbo-i-2018;nl;arch-layer;null;null;null;null;Welke architectuurlagen kent het HBO-I model?;De tweede dimensie bestaat uit vijf architectuurlagen. De activiteiten kunnen immers betrekking hebben op verschillende aspecten van ict-systemen. Daardoor kunnen ook de specifieke inhoudelijke activiteiten verschillend zijn. De architectuurlagen zijn bedoeld om deze inhoudelijke differentiatie zichtbaar te maken en de breedte van het profiel van de Bachelor of ICT in detail te beschrijven.
hbo-i-2018;nl;arch-layer;null;null;null;null;Is de volgorde van de architectuurlagen in het HBO-I model willekeurig?;De volgorde van de vijf architectuurlagen is niet willekeurig. Elke laag voegt ‘functionaliteit’ of ’waarde’ toe aan de onderliggende laag en maakt gebruik van ‘services’ van de bovenliggende laag.
hbo-i-2018;nl;arch-layer;null;null;null;null;Welke waarde voegen de architectuurlagen van het HBO-I model toe aan de opvolgende laag?;Gebruikersinteractie ontsluit door ict gefaciliteerde bedrijfsprocessen die gebouwd zijn op een geconfigureerde hard- en software infrastructuur die is opgebouwd uit (geprogrammeerde) hard- en softwarecomponenten die (eventueel) via hardware interfaces verbonden zijn met hardware-systemen.
hbo-i-2018;nl;arch-layer;null;user-int;null;null;Wat wordt verstaan onder Gebruikersinteractie in het HBO-I model?;"De architectuurlaag gebruikersinteractie heeft betrekking op de communicatie van de (eind)gebruiker) met het ict-systeem. Hier wordt nadrukkelijk niet de interactie bedoeld met gebruikers zoals die plaatsvindt tijdens het tot stand komen van een ict-systeem; dat is immers in elk van de architectuurlagen aan de orde."
hbo-i-2018;nl;arch-layer;null;org-proc;null;null;Wat valt volgens het HBO-I model onder de architectuurlaag Bedrijfsprocessen?;In het HBO-I model heeft de architectuurlaag bedrijfsprocessen betrekking op het faciliteren van organisatieprocessen door middel van ict-systemen. Daarbij gaat het om de functionaliteit van het systeem als geheel (geautomatiseerde en niet geautomatiseerde delen) bezien vanuit de context van de te realiseren organisatiedoelen.
hbo-i-2018;nl;arch-layer;null;infra;null;null;Welke architectuurlaag van het HBO-I model beschrijft het beheren van de infrastructuur van ict-systemen?;De architectuurlaag infrastructuur beschrijft het geheel aan ict-systemen waarmee bedrijfsprocessen gefaciliteerd worden. Het gaat hier om beschikbaar stellen, beschikbaar houden en configureren van de traditionele hardware-infrastructuur, maar zeker ook de software-infrastructuur.
hbo-i-2018;nl;arch-layer;null;software;null;null;Wat verstaan we onder de architectuurlaag Software volgens het HBO-I model?;Het HBO-I model doelt met de architecuurlaag software op het ontwikkelen van diverse soorten software. Dit betreft software die na oplevering wordt opgenomen in een ict-infrastructuur.
hbo-i-2018;nl;arch-layer;null;hardware;null;null;Waarover gaat Hardware Interfacing als architectuurlaag in het HBO-I model?;is van toepassing wanneer software interactie aangaat met beschikbare hardware. Hierbij gaat het om situaties waarbij in de software expliciet rekening gehouden moet worden met mogelijkheden en beperkingen van de beschikbare hardware. Denk hierbij aan ‘embedded systeem’, ‘industrial automation’, ‘virtueel systeem’ e.d.
hbo-i-2018;nl;prof-level;null;null;null;null;Wat wordt verstaan onder de beheersingsniveaus in het HBO-I model? ;Het beheersingsniveau betreft de derde dimensie van het HBO-i model. Hiermee biedt de domeinbeschrijving een waarborg voor het hbo-niveau. Binnen het domein van de Bachelor of ICT kunnen opleidingen en studenten verschillende accenten leggen. Daardoor zal er variatie bestaan in het niveau waarop deelgebieden beheerst (moeten) worden.
hbo-i-2018;nl;prof-level;null;null;null;null;Wat zijn de verschillende beheersingsniveaus in het HBO-I model?;Om binnen de diversiteit vergelijkbaarheid mogelijk te maken, onderscheiden we vier beheersingsniveaus. Het eerste niveau omvat de propadeutische fase, niveau twee de kernfase en niveau drie de eindfase van de bachelor HBO. Niveau vier verwijst naar het HBO master niveau.
